v1,v2
TRUE,"After a period of inaction war between the two countries again became imminent in 1209; but a peace was made at Norham, and about three years later another amicable arrangement was reached."
TRUE,"After a quick twirl of the weapon to show off, she punched with her left and staked with her right."
FALSE,"After cleaning his water bowl out in the big stainless steel sink, she filled the bowl with water and set it on the floor near his food bowl."
TRUE,"After eight days his men were murdered, and on the 29th of October 1885 he himself was speared in both sides, his last words to the soldiers appointed to kill him being, ""Go, tell Mwanga I have purchased the road to Uganda with my blood."""
TRUE,"After evidence is collected, rape victims are treated with appropriate medical care for their injuries."
FALSE,After he influenced her he would ask her to laugh again…and again.
FALSE,After he influenced her he would ask her to laugh againâ€¦and again.
FALSE,"After laying down my pen, I took several turns in a berceau or covered walk of acacias, which commands a prospect of the country, the lake, and the mountains."
FALSE,"After tea, Clara convinced her to walk around the cabin to look at the vegetation."
TRUE,"After the latter's execution (440) she retired to Jerusalem, where she was made responsible for the murder of an officer sent to kill two of her followers and stripped of her revenues."
TRUE,"After you kill the first assassin and Michael Corleone tells you to go to the basement, go foward and make a left."
TRUE,"Agriculture is highly developed; cereals, principally wheat and oats, and beetroot are the chief crops; potatoes, flax, hemp, rape and hops are also grown."
TRUE,"Airspace weapon systems Current programs include Scramjet, future air-to-surface guided weapons, Storm Shadow and attack helicopter air-to-surface weapons."
FALSE,Alex attacked his food as if it were to blame for the havoc he had created at the table.
FALSE,"Alex didn't like highly spiced food, so she decided to bake Cornish game hens for the base of the meal."
FALSE,Alex had given her more than a roof over her head and food.
FALSE,"Alex thanked her, and when she left, he turned his attention to the food."
FALSE,Alex urged Ed into a walk and they continued their mission.
FALSE,Alex watched her walk away and then lifted a brow to Carmen.
FALSE,Alex watched her walk out and then turned to Carmen.
FALSE,Alex's laugh was short and humorless.
FALSE,"All comments are welcome, gives me something to laugh at while im skiving at work !"
TRUE,"All were clearly marked and surrounded by barbed wire; they were intended to deny these areas to the enemy, not to kill."
FALSE,"All who could walk went together, and after the third stage Pierre had rejoined Karataev and the gray-blue bandy-legged dog that had chosen Karataev for its master."
FALSE,"All you can do is laugh and there are some cracking one-liners, delivered by actors who don't understand comic timing."
TRUE,"Alternatively, explosions create cavities, for example, as bombs excavate bomb craters."
TRUE,"Although he thought Jackson an obnoxious, self-righteous prick, Connor felt sure he had been truthful about him being long dead if they were going to kill him."
TRUE,"Although many runaways arrive home safely, there are many unfortunate situations such as rape, molestation, abduction and murder that can, and do occur."
TRUE,"Although the army has been equipped with modern rifles, the common weapon of the people is the matchlock, and slings are still in use."
TRUE,Am I morally obliged to kill him myself or may I arrange for our vicar to do it?
TRUE,"American ethanol policies do not ""kill"" the poor, but they do drive up corn prices."
TRUE,"Amid the smoke, deafened by the incessant reports which always made him jump, Tushin not taking his pipe from his mouth ran from gun to gun, now aiming, now counting the charges, now giving orders about replacing dead or wounded horses and harnessing fresh ones, and shouting in his feeble voice, so high pitched and irresolute."
TRUE,Among some of the great storylines was a revisit to Laura's rape in 1999 when son Lucky learned of it.
TRUE,Among the crops were GM oilseed rape varieties used to produce F1 hybrids belonging to AgrEvo UK (now Aventis ).
TRUE,Among the Dravidians a cobra which is accidentally killed is burned like a human being; no one would kill one intentionally; the serpent-god's image is carried in an annual procession by a celibate priestess.
FALSE,"Among the more common species of game are squirrels, opossums, musk-rats, rabbits, racoons, wild turkeys, "", partridges"" (quail, or Bob White), geese, and ducks; deer, black bears, grey (or timber) wolves, black wolves and ""wild cats"" (lynx), once common, have become rare."
FALSE,"Amongst its chief recommendations were those relating to amendments in the Agricultural Holdings Acts, and to tithe rentcharge, railway rates, damage by game, sale of adulterated products, and sale of imported goods (meat, for example) as home produce."
TRUE,"An act abolished civil penalties upon sentences of excommunication, and thus broke the terrible weapon which the preachers had wielded so long."
TRUE,"An admitted gang member, he was arrested and convicted of cocaine trafficking at an early age."
TRUE,"An agricultural lease does not, apart from stipulation, confer any right to kill game, other than hares and rabbits (as to which, see the Ground Game Act 1880, and Game Laws) or any right of fishing."
TRUE,An announcement for winter oilseed rape sites is expected shortly.
TRUE,An assembly was held and under the invective of Cleon it was decided to kill.
TRUE,"An economic weapon, wheat smut, designed to attack crops, was also being experimented with."
TRUE,"An extremely effective area weapon, the EMP produced by a nuclear airburst would undoubtedly produce severe damage to the civilian infrastructure."
FALSE,An increase in laugh lines and crows feet can also cause concern when applying makeup.
TRUE,An old Cat was in a fair way to kill all the Mice in the barn.
FALSE,"And as he waved his arms to impersonate the policeman, his portly form again shook with a deep ringing laugh, the laugh of one who always eats well and, in particular, drinks well."
TRUE,"And as the people look to him to kill bad measures, he is frequently able, if he be a man both strong and upright, to convey intimations to the legislature, or to those who are influential in it, that he will not approve of certain pending measures, or will approve of them only if passed in a form satisfactory to him."
FALSE,"And his popular works, the Adagia, and the Colloquia (1524), had established themselves as standard books in the more easy going age, when power, secure in its unchallenged strength, could afford to laugh with the laughers at itself."
TRUE,And I spent a lot of time wondering why there weren't any fingerprints on a gun that had just been used by a guy not wearing gloves.
TRUE,And I want to kill some Others.
FALSE,And I'll be there to laugh at you when you do.
TRUE,And I'm not destined to kill you.
FALSE,And it makes me laugh especially that somebody like you with all your patriotic piffle likes a film like Braveheart.
FALSE,And now when every new baby is born its first laugh becomes a fairy.
TRUE,"And they went out to make a compact with the followers of the worldly Herod to kill Him, and so to stave off a religious revolution which might easily have been followed by political trouble."
TRUE,"And yet, the only female heir there's been has challenged the demon and wants to kill it."
TRUE,"And you can have my brothers right now.  I'll give you the order I prefer you to kill them in, Rhyn said."
TRUE,"Andre took up his position flanking her, and she shot him a look.  She couldn't imagine why a demon would want to pose as Gabriel â€“ and insist on guiding her through the underworld.  Her limited experience with demons was that they all wanted to kill her or drag her to Hell or to Darkyn."
TRUE,"Another group of Hymenoptera occasionally causes much harm in fir plantations, namely, the Siricidae or wood-wasps, whose larvae burrow into the trunks of the trees and thus kill them."
FALSE,"Another small group of ruins in the same style is found at the village of Hajjiabad, on the Pulwar, a good hour's walk above Takhti Jamshid."
TRUE,Any hope he'd had of finding somethingâ€”anything!â€”to use as a weapon was dashed as he looked around the sparsely decorated room.
TRUE,"Any weapon I come across, I can master without even trying!"
TRUE,Apparently a terrorist had driven his bomb laden car into that of an American diplomat killing the diplomat and his driver.
FALSE,Apparently scrounging food off the desert wasn't nearly as easy as harnessing a team of mules.
TRUE,Apparently the bomb missed Qadaffi but killed several innocent bystanders.
TRUE,Approximately 31 percent of rape victims develop PTSD as a result of their assault.
FALSE,"Are you going to make me walk back alone, sir?"
TRUE,Are you really going to let the establishment kill an honest man who has simply exposed a major conspiracy to defraud by spreadsheet calculations?
TRUE,"Are you telling me you turn into a wolf at the full moon, and you can kill vampires?"
FALSE,Are you wiping the sleep from your eyes?
TRUE,"Army bomb disposal experts, who said that the mine was still capable of killing, safely detonated it during the night."
TRUE,"As a result the makers did not shy away from a graphically realistic depiction of rape, murder and revenge."
FALSE,"As an article of food the boar's head was long considered a special delicacy, and its serving was attended with much ceremonial."
FALSE,"As he refilled the human's glass he continued, Why don't you have a few more drinks, make yourself some food; I'm sure Sarah stocked the fridge with all your favorites."
TRUE,"As its popularity grew, however, Hollyoaks began to tackle much more serious issues, such as incest, alcoholism, date rape, eating disorders and drugs, to name just a few."
TRUE,"As long as he doesn't kill or turn them into vampires, we leave him alone."
TRUE,"As much as he wanted to kill a few vamps, he wasn't here for that."
FALSE,"As much as she ate, she didn't seem to dent the plate of food."
FALSE,"As the saying goes, we laugh because it is true."
TRUE,"Asked whether or not the GM contaminated oilseed rape crops should be destroyed, 93% said yes, 7% said no."
TRUE,"Assassins were sent to kill him in his cell; but awed, it is said, by Savonarola's words and demeanour they fled dismayed from his presence."
TRUE,"At first glance two pieces of wood strung together by a length of cord, may not look too fearsome a weapon."
FALSE,"At last, he gave up trying to make up for it with food and rose from the table."
TRUE,"At least he could kill anything that came near his mate and child, if he had the chance.  He'd been reluctant to accept any role with the Immortals, fearing his own broken nature was too weak."
FALSE,"At low tide the limpet (being a strictly intertidal organism) is exposed to the air, and (according to trustworthy observers) quits its attachment and walks away in search of food (minute encrusting algae), and then once more returns to the identical spot, not an inch in diameter, which belongs, as it were, to it."
TRUE,At one point in the action the remote detonator of the bomb rolled under the bell.
TRUE,"At the end of the war, Caesar bestowed upon Bocchus part of the territory of Massinissa, Juba's ally, which was recovered after Caesar's murder by Massinissa's son Arabion."
TRUE,At the same time Kashmir's ' special status ' had been systematically eroded.
TRUE,At this festival it was originally the custom for the priest of the god to pursue a woman of the Minyan family with a drawn sword and kill her.
TRUE,"Australian authorities have pointed out that when this chemical can be broken down into GHB, which is known as a date rape drug."
FALSE,"Aye no problem "" [laugh] and I'm like "" No, I'll have a latte please, actually."
TRUE,Banal lyrics with meaning and worth is another essential weapon in a jazz singer's armory.
TRUE,"Because rape and sexual assault cause long-term psychological trauma, parents should be aware of symptoms of PTSD, depression, substance abuse, high-risk behaviors, and anxiety in their children."
TRUE,"Because rape is a crime, there are certain requirements for medical evaluation of the patient and for record keeping."
TRUE,"Bedingfield is also active with a group called Stop the Traffik, which works to put an end to global human trafficking and Bono's (RED) campaign to raises awareness of poverty in Africa."
TRUE,"Before filing the complaint, however, you should check to make sure that the particular issue you have is something this department deals with since not all fraud complaints are handled by this department."
FALSE,"Before going home, she made a trip to the market and bought prepared food for the first time."
FALSE,"Being able to laugh at yourself is a great gift that promotes compassion, communication and understanding."
TRUE,"Bellerophon,mounted on Pegasus(q.v.),kept up in the air out of the way of the Chimaera, but yet near enough to kill it with his spear, or, as he is at other times represented,with his sword or with a bow."
FALSE,"Besides, food out of a can was... canned food – no cooking skills were required."
FALSE,"Bianca coughed to cover her laugh, and Pierre seconded the vamp with a quiet amen."
FALSE,"Bianca stifled a laugh, genuinely liking the subtle yet feisty Oracle."
TRUE,Bob's bees where adjacent to a field of rape seed which stood head height.
TRUE,Bomb disposal experts then detonated this device the following day.
FALSE,"Bonnier has drawn attention to the fact that the mistletoe in its turn, remaining green in the winter, contributes food material to its host when the latter has lost its leaves."
FALSE,Boris did not laugh.
FALSE,Both he and SuleymÃ¢n appeared to think that atheism was a subject to make angels laugh.
TRUE,"Both statistically and experimentally we find that a damp soil favours its life and development, while prolonged submersion and drought kill it."
TRUE,Brady looked her over and drew a laser gun.
TRUE,"Brady peeled his face mask off and lowered the muzzle of his weapon, unnerved by the unrealistic utopia after the three-day battle up the side of the mountain."
TRUE,"Brady raised his gun instead, aiming it at the man holding her."
TRUE,"Brady rested his laser gun on his shoulder, taking in the undisturbed minefield and pieces of bodies remaining after several of the intruders tried to cross the bio-elim field before it was disabled."
TRUE,Brady rested one hand on his laser gun until he was sure she wouldn't try anything.
FALSE,Brady's stomach roared at the scent of real food.
TRUE,Brennan spoke of a Missouri case where a pedophile Howie had watched kill an eleven year old boy seemed to have a perfect alibi.
TRUE,"Broom believes Thylacoleo to have been ""a purely carnivorous animal, and one which would be quite able to, and probably did, kill animals as large or larger than itself."""
FALSE,Bumpus sensed a walk and joined the two.
TRUE,"But even when inside it does not follow that the Fungus can kill the cell, and many cases are known where the Fungus can break throtigh the cells first lines of defence (cell-wall and protoplasmic lining); but the struggle goes on at close quarters, and various degrees of hypertrophy, accumulation of plastic bodies or secretions, discolorations, &c.,, indicate the suffering of the still living cell."
TRUE,"But first he designed an invasion of Kashmir (Tors), which was not carried out, as his progress was checked at Loh-kot, a strong hill fort in the north-west of the Punjab."
FALSE,"But from this time forward they laid down their arms, and played the game of warfare by the aid of mercenaries."
TRUE,But he could kill her and haul her body into the woods before anyone came along.
TRUE,But I was kinda jumping the gun.
TRUE,But I'd only kill things that threatened those who couldn't protect themselves.
TRUE,"But ideas are difficult to kill, and it is possible that the Modernist movement may yet prove to be the opening chapter of a mighty revolution within the Church of Rome.'"
FALSE,"But if they don't want our food, why would they follow us?"
TRUE,"But it must also be remembered that a feudal army was an inefficient weapon for long wars, and that the mercenaries, by whom alone it could be replaced, were both expensive and untrustworthy."
TRUE,But surely a pan that warns you if your house is burning down or your food will kill you has to be worth $200 to you.
TRUE,"But Taran…was it possible to love a man she did not know, a man who would kill her?"
TRUE,"But Taranâ€¦was it possible to love a man she did not know, a man who would kill her?"
FALSE,But the condition was attached that he should walk in front of her and not look back until he had reached the upper world.
TRUE,But the funny remark made with apparent sincerity was not the only weapon in her humorous armory.
TRUE,"But the oils belonging to the rape oil group are characterized by considerably lower saponification values, viz."
TRUE,"But the gun is a little frightening, Dean said."
TRUE,"But this man, an enemy who hadâ€”up until nowâ€”wanted to kill her, left her feeling a little less alone."
FALSE,"But Venice had been made to suffer at the hands of Carrara, who had levied heavy dues on transit, and moreover during the Chioggian War had helped the Genoese and cut off the food supply from the mainland."
FALSE,"But were the Indians interested in the people, or the food the wagons contained?"
TRUE,But what has the bomb to do with what I wish you to write?
FALSE,"But what was most amusing,"" he continued, with a sudden, good-natured laugh, ""was that we could not think how to address the reply!"
FALSE,"But why, after displaying so much cunning, did he invariably betray himself the moment he came up by that loud laugh?"
TRUE,By 20 September 1940 there were Naval bomb disposal teams at 27 shore establishments.
FALSE,By and by we shall take a little walk in the Public Gardens.
FALSE,"By Darian's occasional laugh and the hungry fire in Xander's features, they enjoyed killing."
TRUE,"By Immortal Code, Death can't kill you, and neither can any of his dealers."
TRUE,"By proposing to allow the president of the Assembly to call in armed force, the questors revealed the Assembly's plans for defence, and gave the Elysee a weapon against it (""donnent barre contre elle a l'Elysee"")."
FALSE,"By six months, he should gurgle, laugh, babble repetitive sounds and attempt to imitate them, look for the source of sounds such as a parent's voice and begin to pay attention to music."
FALSE,"By the time he arrived, she had the table set and his plate filled with food."
FALSE,"By the time he left the office for the ten-minute walk across the square to the courthouse, he felt com­fortable with the progress of the case."
TRUE,By this agreement the king and his people pledged themselves to pay hut and gun taxes to the administration of the protectorate.
TRUE,"By this time every infantry soldier and gun within call had been thrown into the fight, and the Austrians might well have thrown odds of three to one upon the Prussian centre and have broken it asunder."
FALSE,"Caked with mud, they both decided to walk to the house while Katie parked the car."
TRUE,Can he even carry a gun?
TRUE,Can I kill an Original Other without the world ending?
TRUE,Can you use a gun?
TRUE,Can't we just launch a nuclear bomb at ' em?
TRUE,Carmen leaned down and handed him the gun.
FALSE,Carmen stepped outside with her food and fed it to the cat.
FALSE,Carmen watched him walk out the door.
TRUE,"Carrots, cabbages, turnips and rape, not yet cultivated in the fields, are mentioned among the herbs and roots for the kitchen."
TRUE,"Celeus endeavoured to kill him on his return, but Demeter intervened and forced him to surrender his country to Triptolemus, who named it Eleusis after his father and instituted the festival of Demeter called Thesmophoria."
TRUE,"Chacmas frequently strip orchards and fruit-gardens, break and devour ostrich eggs, and kill lambs and kids for the sake of the milk in their stomachs."
TRUE,Character studies set Days apart from the competition as the plot explored the fragile mental state of Marie Horton and the rape of Mickey Horton's wife Laura by his own brother Bill.
FALSE,Check out this blog to get a good laugh at Hollywood's most fashion-challenged celebs.
TRUE,Children and adolescents who have been raped or sexually assaulted are three times more likely to experience another rape in adulthood.
FALSE,"Christy would feign a laugh every time her boyfriend made a joke, no matter how funny it was."
TRUE,"Civil war was raging in France, and Clement became an ardent partisan of the League; his mind appears to have become unhinged by religious fanaticism, and he talked of exterminating the heretics, and formed a plan to kill Henry III."
FALSE,"Closely associated with the medical school, and separated from it by the Middle Meadow Walk, is the Royal Infirmary, designed by David Bryce, R.S.A."
TRUE,Cold storage for a period of over three weeks is said to kill the cysticercus.
TRUE,Colin finds an unexploded bomb in the Leisure Center.
TRUE,Colonies need to be strong enough to take advantage of oil seed rape in April.
TRUE,"Connor spoke first, ""Are you here to kill me?"""
TRUE,"Consumers can find out about insurance requirements, regulations, and how to file a formal complaint if they feel as though they have been victims to fraud from an insurance company, provider, or broker."
TRUE,"Contemporary meat-eaters set themselves to combat this prejudice, and argued that it was a pious duty to kill animals and so release the human souls imprisoned."
FALSE,Cora coughed to cover up her laugh.
FALSE,"Coronet Park was half way between their two houses, an easy walk from each."
TRUE,"Cost a bomb but does jobs that no other drill will do Many sets of drills, including cobalt for stainless steel."
TRUE,"Could she kill it, if her blood mixed with Memon's?"
FALSE,Couldn't even walk when Sofi first found me.
FALSE,Cousin Leila thinks he will walk in a little while.
TRUE,Cubbing - the practice of training new hounds to kill fox cubbing - the practice of training new hounds to kill fox cubs - began at the end of August.
FALSE,"Cynthia had spotted him coming up the walk, Martha explained, and managed to remain out of sight while Fred helped Shipton lug down the belongings."
TRUE,"Czerno was already there and with him, a secret weapon, one that made the vamp believe they'd win before he'd been shot down."
FALSE,Damian turned to walk away.
TRUE,"Damn sight better to kill the bastards, I've always thought."
FALSE,Darian asked with a laugh.
FALSE,"Darian motioned for Claire to walk with him, and they started down the beach."
FALSE,Darian motioned for his former mate to walk with him down the beach.
FALSE,Darkyn's laugh was sinister.
TRUE,Daughter Kendall is the product of a rape that occurred when Erica was just 14 years old.
FALSE,Dave is one of the funniest people I know. He always makes me laugh.
TRUE,Davis grunted and holstered his gun.
TRUE,"Dean could no longer see the gun but he knew it remained in place, pointed at him."
FALSE,Dean had a good buzz going and could only imagine the effect of the booze on the five-foot frame of his dinner partner—a frame without food most of the day.
FALSE,Dean had hardly begun clearing the walk of the deep snow before Jake Weller drove up.
FALSE,"Dean made a move toward her, but she scurried out the door with a loud laugh, still naked, dragging her white dress behind her."
TRUE,"Dean related the complete happenings to Fred but when he began to describe the scuffle, he remembered the gun."
TRUE,Deep plowing may kill plants buried below 15 cm but creeping buttercup can survive shallow burial.
FALSE,Deidre gave an unsettled laugh.
FALSE,Deidre stared at her then gave a startled laugh.
FALSE,Deidre took some solace from the fact he didn't laugh or throw her out.
TRUE,"Deidre wasn't vindictive, but she still didn't fathom the amount of evil in one's heart it took to kill them slowly while smiling and saying they'd get better."
FALSE,"Demons didn't eat human food, and the storage area was virtually untouched.  Rhyn grabbed several cans and packages of foodstuffs then left."
FALSE,Denisov began to laugh.
FALSE,Denton's laugh was harsh.
TRUE,Desperate measures were used to conclude the long lasting and cruel war and the decision was made to drop the atom bomb at Hiroshima.
TRUE,"Determined first to get rid of her cotton mouth and then to kill Jake, she wrenched open the door, blinded by the hall light she didn't recall leaving on."
TRUE,Did he have a gun?
TRUE,Did he kill them?
TRUE,"Did he rape you, Lydia?"
TRUE,Did the bastard kill the baby too?
TRUE,Did you fire your gun?
TRUE,"Did you see the memory where I watched you kill your first, and I still thought maybe there was some part of you that could be salvaged?"
TRUE,Did you kill him?
TRUE,"Didn't you want to kill me that first night; I mean, isn't it in your nature to kill vampires."
FALSE,Dilbert of the eponymous comic strip first popularized them (or not) and they have gained new laugh power as the wardrobe of uber-dweeb Dwight on the TV show The Office.
TRUE,"Disobey me, and I'll kill him."
TRUE,Do you always carry a gun when you're riding?
FALSE,Do you have any food? she asked.
TRUE,Do you remember what he was before you trained him to kill?
FALSE,Do you want me to walk you home?
FALSE,Do you laugh at how much your style has changed?
TRUE,"Doc, you got a real gun?"
TRUE,Does anyone know or have experience growing bamboo within the ' kill zone ' of a black walnut tree?
TRUE,Dolphins are my favorite animal and if you kill dolphins are my favorite animal and if you kill dolphins you are very sick minded and rude!
TRUE,Donald Martin's witness box weapon of choice was pure vitriol.
FALSE,Don't be afraid to be silly and laugh with your children.
FALSE,"Don't miss a walk around the museum's lovely grounds, especially in the fall when the fall foliage is in full color."
FALSE,"Don't take it personally when you get called a noob by the more experienced players, just try to laugh it off."
TRUE,Don't kill the torturer - try bribery instead.
FALSE,Don't laugh at me!
FALSE,Don't walk across there.
FALSE,"Dumping it in his food bowl, she watched a moment as he wolfed it down."
TRUE,"During a tour through Kashmir with Sir Henry Lawrence he kept the purse and Sir Henry could never obtain an account from him; subsequently Sir George Lawrence accused him of embezzling the funds of the Lawrence Asylum at Kasauli; while Sir Neville Chamberlain in a published letter says of the third brother, Lord Lawrence, ""I am bound to say that Lord Lawrence had no opinion of Hodson's integrity in money matters."
TRUE,"During this period he also painted the ""Rape of the Sabines"" and ""Leonidas at Thermopylae."""
FALSE,Dusty had been right; she was in far too deep to walk away this time.
TRUE,Dusty will kill me if anything happens to you.
TRUE,"Dusty's gonna kill me, he whispered, stricken."
FALSE,"Dusty's not allowed out of his room without her—"" ""Darian!"" she said with a laugh."
FALSE,"Dusty's not allowed out of his room without herâ€”"" ""Darian!"" she said with a laugh."
FALSE,Each facility is within three days' walk of three more facilities with another twenty possible routes.
TRUE,"Eagles will usually hunt and kill live animals, but will often eat carrion such as dead hares and sheep."
TRUE,Earlier this year the Alaskan pipeline network was almost brought to a complete standstill by a stray bullet from a hunting rifle.
FALSE,"Eh? said Anatole, with a good-humored laugh."
TRUE,Either one of them might have stolen the bony digit from Cynthia's jewelry case and fired a gun at the Lucky Pup Mine.
TRUE,Elise says you used to call her to kill bugs in your room.
FALSE,"Elliot, Gallinaceous Game Birds of North America (New York, 1897) and Wild Fowl of the United States and British Possessions (1898), and Robert Ridgway's learned and invaluable Birds of North and Middle America, published by the Smithsonian Institution, Bull."
TRUE,Employers will have to teach employees about this new law and provide training in how to detect and report fraud.
TRUE,Erica's child (a product of a rape when she was just 14 years old) debuted on the show in the mid 90s played by Sarah Michelle Gellar (who would earn an Emmy for her portrayal and would go on to play Buffy the Vampire Slayer).
TRUE,"Erith has large engineering and gun factories, and in the neighbourhood are gunpowder, oil, glue and manure works."
TRUE,Escape first then kill Kris.
FALSE,Escaping from her father she ran to hide her flushed face in the lace of her mother's mantilla--not paying the least attention to her severe remark--and began to laugh.
TRUE,"Europe - you stifled the voice of God, and so you invented the concentration camp and the Atom Bomb."
TRUE,"Even after being devastated by an earthquake and a bomb in the early 20th century, it is still is an elegant architectural sight."
FALSE,"Even more frustrated, he pulled the food out of the oven and retreated to his office, not caring that he was drenched."
TRUE,Even possession of a (normally) two-handed weapon such as the spear didn't obviate the necessity of acquiring empty-handed skills.
FALSE,"Even so, who would simply walk in..."
FALSE,Even the most deluded of deluded optimistic naÃ¯ve fools on LSD would laugh at that suggestion.
TRUE,"Even when the light is not sufficiently intense, or the exposure is too short to kill the spores, the experiments show that attenuation of virulence, That bacterial fermentations are accompanied by the evolution of heat is an old experience; but the discovery that the "" spontaneous "" combustion of sterilized cotton-waste does not occur simply if moist and freely exposed to oxygen, philous bacteria."
TRUE,"Even when treated, rape and sexual assault can cause poor self-esteem, sexual dysfunction and impaired sexual and personal relations, insomnia, anxiety, eating disorders, and other psychological symptoms that last into adulthood."
TRUE,"Even when, on the invention of gunpowder and firearms, the bow had fallen into disuse as a weapon of war, the prohibition was continued."
FALSE,"Eventually, he reasoned, the hungry hoards would overwhelm the beleaguered food supply."
TRUE,"Every campaign, he gave it to her for safekeeping, in case the weapon of an enemy severed the leather cord and it was lost."
FALSE,"Every moment he spent with her, he felt like he was getting farther and farther away from his ability to walk away without either of them getting hurt."
TRUE,Every move that Ryu pulls off with every weapon looks completely realistic and supremely stylish.
TRUE,"Every ship, every weapon they own, came from Anshan ore."
FALSE,"Everyone else's life seemed to have some force in it, a force that was driving it forward, something much stronger than his life that was plodding along like a Sunday walk to nowhere."
FALSE,"Everything about Jenn was sexy, from her tight clothing to her sensual walk to her smoky make-up and low, gravelly voice."
TRUE,Evidence for GM oilseed rape suggests that gene flow to wild relatives is very rare and that hybrids do not establish in the wild.
TRUE,"Excepting for greyhounds, however, high prices are rarely offered for sporting dogs, 300 guineas for the pointer ""Coronation"" and 200 guineas for the retriever ""High Legh Blarney"" being the best reported prices for gun dogs during the last few years."
TRUE,"Experts say even 1,000 curies might make an effective dirty bomb."
